NET_INCOME,OP_PROFIT_LOSS,OP_REVENUES,OP_EXPENSES,INCOME_PRE_TAX,INCOME_TAX,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER_NAME,REGION,YEAR,QUARTER
6625.26,6625.26,27035.24,20409.98,6625.26,0,27Q,"Jet Aviation Flight Services, Inc.","Jet Aviation Flight Services, Inc.",D,2023,3
6934.55,6926.53,37724.22,30797.69,6934.55,0,WI,Sky Lease Cargo,Sky Lease Cargo,I,2023,2
6959.24,6959.24,26008.57,19049.32,6959.24,0,27Q,"Jet Aviation Flight Services, Inc.","Jet Aviation Flight Services, Inc.",D,2023,1
6974.3,21032.15,608119.97,587087.82,7137.45,163.15,G4,Allegiant Air,Allegiant Air,D,2023,4
7034.12,7505.03,34867.06,27362.03,7034.12,0,NC,Northern Air Cargo Inc.,Northern Air Cargo Inc.,I,2023,1
7058.23,7097.77,33003.03,25905.26,7058.23,0,KH,Aloha Air Cargo,Aloha Air Cargo,D,2023,2
7301.01,7455.26,35032.25,27576.99,7301.01,0,KH,Aloha Air Cargo,Aloha Air Cargo,D,2023,1
7706.05,7706.05,9183.57,1477.52,7706.05,0,L2,Lynden Air Cargo Airlines,Lynden Air Cargo Airlines,I,2023,2
7720.26,14480.61,449747.09,435266.48,13033.46,5313.2,MQ,Envoy Air,Envoy Air,D,2023,4
8933.39,21704.12,342602.82,320898.7,12056.98,3123.58,YX,Republic Airline,Republic Airline,D,2023,3
9203.25,9534.24,35306.77,25772.53,9203.25,0,NC,Northern Air Cargo Inc.,Northern Air Cargo Inc.,I,2023,3
9485.93,10428.61,38383.22,27954.61,9485.93,0,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,L,2023,2
9561.79,9561.97,11380.45,1818.49,9561.97,0.18,L2,Lynden Air Cargo Airlines,Lynden Air Cargo Airlines,I,2023,3
10453.55,10000.44,62623.28,52622.85,10518.89,65.35,KAQ,Kalitta Air LLC,Kalitta Air LLC,D,2023,4
10885.8,25158,222702.96,197544.96,17018.39,6132.59,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,D,2023,2
11022.58,16221.16,62100.71,45879.56,15310.31,4287.73,B6,JetBlue Airways,JetBlue Airways,A,2023,1
11445.25,12306.46,48458.71,36152.26,11445.25,0,NC,Northern Air Cargo Inc.,Northern Air Cargo Inc.,I,2023,4
12157.76,12443.19,24909.96,12466.77,12157.76,0,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,L,2023,3
12825.08,15821.11,160056.67,144235.56,12825.08,0,X9,Omni Air International LLC,Omni Air International LLC,I,2023,2
13256.18,22047.41,66765.88,44718.47,20891.96,7635.78,B6,JetBlue Airways,JetBlue Airways,A,2023,2
14454.69,30310.76,213533.58,183222.83,25808.67,11353.99,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,D,2023,1
15263.62,11761.79,422725.58,410963.79,15263.62,0,KAQ,Kalitta Air LLC,Kalitta Air LLC,I,2023,2
17655.41,17678.11,165981.07,148302.97,17655.41,0,N8,National Air Cargo Group Inc d/ba National Airlines,National Air Cargo Group Inc d/ba National Airline,I,2023,4
17947.91,13426.49,126520.48,113093.98,11760.35,-6187.56,HA,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.,P,2023,1
20535.63,37067.08,363854.5,326787.42,27926.27,7390.65,YX,Republic Airline,Republic Airline,D,2023,1
21919.93,21976.67,25920.55,3943.88,21940.17,20.24,L2,Lynden Air Cargo Airlines,Lynden Air Cargo Airlines,I,2023,4
24262.73,25472.38,80581.59,55109.21,24262.73,0,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,L,2023,1
25380.15,47261.22,359553.24,312292.03,34173.82,8793.68,YX,Republic Airline,Republic Airline,D,2023,2
26073,30332,268537,238205,33821,7748,WN,Southwest Airlines Co.,Southwest Airlines Co.,L,2023,2
27858.09,30574.13,52645.24,22071.11,27866.17,8.08,KD,Western Global,Western Global,I,2023,4
31166.32,42237.41,115948.06,73710.65,41499.77,10333.44,5X,United Parcel Service,United Parcel Service,L,2023,2
